RetentionTime,Intensity
12.93859959,3779022.75
12.94305038,2695557.75
12.94751644,2772218.25
12.95196629,2668821.5
12.95641708,2324610.25
12.96088314,2035083.25
12.96533298,1807027.25
12.9698,1931790
12.97424984,1507934.25
12.97871685,1547601
12.98316669,1443744.5
12.98761654,1417907.5
12.99208355,1124118
12.99653339,1110016.625
13.0010004,1087865.125
13.00545025,1019160.562
13.00990009,983811.375
13.0143671,795228.5625
13.01881695,739260.4375
13.023283,753927.1875
13.0277338,757643.3125
13.03219986,676860.5625
13.0366497,616760.6875
13.0411005,616895.25
13.04556656,564475
13.0500164,508546.3438
13.05448341,663632.0625
13.05893326,606513.4375
13.0633831,579015.8125
13.06785011,488339.5312
13.07229996,398676.6562
13.07676697,530641.0625
13.08121681,381696.1875
13.08568287,533698.5
13.09013367,478279.8438
13.09458351,417811.25
13.09904957,479107.6875
13.10350037,408866.75
13.10796738,439641.6562
13.11241627,0
13.11686707,439591.9688
13.12133408,392560.5625
13.12578297,258278.1875
13.13024998,392973.4375
13.13469982,363342.0625
13.13916588,347924.8438
13.14361668,0
13.14806652,316029
13.15253258,0
13.15698338,272118
13.16145039,266523.0312
13.16589928,0
13.17035007,0
13.17481709,190100.4531
13.17926598,0
13.18373299,0
13.18818378,193430.4062
13.19265079,229817.3906
13.19709969,175406.9844
13.20155048,0
13.20601749,0
13.21046638,151340.0938
13.2149334,174823.0625
13.21938419,199722.7031
13.22383308,208796.8438
13.22830009,259611.25
13.23275089,161393.5156
13.237216,0
13.24166679,199981.5938
13.2461338,121716.8047
13.2505827,0
13.25503349,139191.7031
13.2595005,146777.375
13.26394939,0
13.2684164,46460.98828
13.2728672,99686.17969
13.27733326,0
13.2817831,36421.44141
13.2862339,113619.7344
13.29069996,0
13.2951498,80159.10156
13.29961681,0
13.30406666,104031.125
13.3085165,85467.17969
13.31298351,128713.1562
13.31743336,0
13.32190037,47050.74609
13.32635021,105230.7891
13.33081627,43856.60938
13.33526707,0
13.33971691,0
13.34418297,43681.78125
13.34863377,48874.58203
13.35309982,0
13.35754967,34153.11719
13.36199951,0
13.36646652,0
13.37091637,0
13.37538338,0
13.37983322,0
13.38429928,0
13.38875008,0
13.39319992,0
13.39766598,0
13.40211678,41773.51562
13.40658379,0
13.41103268,0
13.41548347,0
13.41995049,0
13.42439938,0
13.42886639,0
13.43331718,0
13.43778419,0
13.44223309,0
13.44668388,51574.78906
13.45114994,0
13.45559978,0
13.4600668,0
13.46451664,0
13.46896648,50123.89453
13.47343349,0
13.47788334,0
13.4823494,0
13.48680019,0
13.4912672,33142.66797
13.49571609,28275.52539
13.50016689,0
13.5046339,0
13.50908279,0
13.5135498,29593.78516
13.5180006,0
13.52244949,0
13.5269165,0
13.5313673,0
13.53583336,0
13.5402832,0
13.54475021,0
13.54920006,0
13.5536499,0
13.55811691,0
13.56256676,0
13.56703281,0
13.57148361,0
13.57593346,0
13.58039951,42283.32031
13.58485031,0
13.58931637,0
13.59376621,0
13.59823322,0
13.60268307,0
13.60713291,0
13.61159992,0
13.61604977,0
13.62051678,0
13.62496662,0
13.62941647,0
13.63388348,0
13.63833332,0
13.64280033,0
13.64725018,0
13.65171719,0
13.65616703,0
13.66061687,0
13.66508389,0
13.66953373,0
13.67399979,0
13.67844963,0
